CH1, CH2, CH3, CH4, CH5, CH6, CH7, CH8, CH9 : 14:35:41 10/07/2016 
0, 0, 4, 0, 0, 0, 0, 0, 1 14:35:44 10/07/2016
0, 0, 4, 0, 0, 0, 0, 0, 1 14:35:48 10/07/2016
0, 0, 3, 0, 0, 0, 0, 0, 1 14:35:52 10/07/2016
0, 0, 4, 0, 0, 0, 0, 0, 1 14:35:56 10/07/2016
0, 0, 3, 0, 0, 0, 0, 0, 1 14:36:00 10/07/2016
0, 0, 4, 0, 0, 0, 0, 0, 1 14:36:04 10/07/2016
0, 0, 3, 0, 0, 0, 0, 0, 1 14:36:08 10/07/2016
0, 0, 3, 0, 0, 0, 0, 0, 1 14:36:12 10/07/2016
0, 0, 4, 0, 0, 0, 0, 0, 1 14:36:16 10/07/2016
0, 0, 4, 0, 0, 0, 0, 0, 1 14:36:20 10/07/2016
0, 0, 4, 0, 0, 0, 0, 0, 2 14:36:24 10/07/2016
0, 0, 3, 0, 0, 0, 0, 0, 1 14:36:28 10/07/2016
0, 0, 3, 0, 0, 0, 0, 0, 1 14:36:32 10/07/2016
0, 0, 3, 0, 0, 0, 0, 0, 1 14:36:36 10/07/2016
File Closed14:36:39 10/07/2016 
